date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,sumtext,Project,Companies,Theme,tags
2009-06-01T07:00:00Z,3.3E9,DoD Cancels $26 Billion Transformational Satellite Program,"$3.3 billion was spent on the program. The cost estimates basically doubled from an initial $12-15 billion. The official termination was June 2009, but DefSec Gates made the decision in April 2009.",,,,,,,3.3E9,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.defense.gov/Contracts/Contract.aspx?ContractID=4043; http://spacenews.com/pentagon-cancels-t-sat-program-trims-missile-defense/; https://www.whitehouse.gov/sites/default/files/omb/budget/fy2010/assets/trs.pdf,,,,project termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-06-01T07:00:00Z,1.8E10,$200 Billion US Army Future Combat System Program Terminated,$18 billion was spent before cancellation.,,,,,,,1.8E10,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/us-army-future-combat-systems-program-formally-terminated,,,,project termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-09-01T07:00:00Z,127000000,VA Scraps $167 Million Scheduling Replacement Projecect After 9 Years,$127 million in costs were written off.,,,,,,,127000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.gao.gov/new.items/d10579.pdf; http://www.nextgov.com/defense/whats-brewin/2014/05/remember-va-replacement-scheduling-project/84523/,,,,project termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-02-01T07:00:00Z,1000000000,DoD Cancels Defense Integrated Military Human Resources System After Spending $1 Billion and 12 years of effort,$1 billion was spent with little to show for it.,,,,,,,1000000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://articles.dailypress.com/2010-02-21/news/dp-local_milupdate_0222feb22_1_military-personnel-payroll-navy-and-air-force; http://www.dodig.mil/audit/reports/fy10/10-041redacted.pdf,,,,project termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-02-01T07:00:00Z,6.0E9,US Government Abandons $13.9 Billion National Polar-orbiting Operational Environmental Satellite System Project,Nearly $6 billion was spent and only one limited-life NASA satellite was almost ready to launch.,,,,,,,6.0E9,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.whitehouse.gov/sites/default/files/npoess_decision_fact_sheet_2-1-10.pdf; http://gop.science.house.gov/Media/hearings/oversight10/june29/Powner.pdf; http://www.gpo.gov/fdsys/pkg/CHRG-112hhrg68320/html/CHRG-112hhrg68320.htm,,,,project termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-05-01T07:00:00Z,392860036,UK Scraps £5.3 Billion National Identity Register Project,£257 million of investment was wasted.,,,,,,,257000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Law Enforcement,,http://www.zdnet.com/article/id-cards-why-they-were-destined-to-fail/; http://www.washingtonpost.com/wp-dyn/content/article/2007/08/12/AR2007081200379.html,,,,project termination/cancellation,"UK,Project Failure,Government,National,Law Enforcement,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-12-01T07:00:00Z,732556105,UK FiReControl Project Axed after Costs Escalate from £100 Million to over £469 Million,The project was terminated in December 2010 after spending £250 million and producing nothing of material value. Another £219 million in committed costs bring the total so far to £469 million.,,,,,,,469000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Law Enforcement,,http://spectrum.ieee.org/riskfactor/computing/it/uk-firecontrol-project-finally-axed,,,,project termination/cancellation,"UK,Project Failure,Government,National,Law Enforcement,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-03-01T07:00:00Z,,Computer Problems at Japan's Mizuho Bank Continue into Second Week,millions of financial transactions had processing delays for a week. ATMs were affected for 5 days.,,,5,days,120,1000000,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/japans-mizuho-bank-computer-problems-persist-in-second-week,,,,bank,"Japan,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2011-07-01T07:00:00Z,45000000,Chicago's Project Shield Canceled after 8 Years and $45 Million Wasted,An audit report stated that there was virtually no project management or oversight.,,,,,,,45000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Law Enforcement,,http://spectrum.ieee.org/riskfactor/computing/it/chicago-project-shields-depressing-post-mortem,,,,project termination/cancellation,"US,Project Failure,Government,State/Local,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-10-01T07:00:00Z,90800000,VA’s $608 Million Financial and Logistics Integrated Technology Enterprise Project Canceled,$90.8 million was wasted on the project.,,,,,,,90800000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://fcw.com/articles/2010/07/13/va-cancels-flite-program.aspx; http://www.va.gov/oig/pubs/VAOIG-11-00324-20.pdf,,,,project termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-11-01T07:00:00Z,,Maintenance Issue Takes Down UK RBS and NatWest's Online and Telephone Banking Systems,15 million customers were affected.,,,1,days,24,15000000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/millions-in-uk-affected-by-it-system-glitches-at-hsbc-rbs-and-natwest-banks-over-past-few-days,"According to a report in the BBC, the cause of the problem was traced to a faulty server.",,,bank,"UK,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2013-02-01T07:00:00Z,134000000,California Cancels $208 Million DMV Modernization IT Project,"$134 million was spent over 6 years, but the project didn't make any real progress.",,,,,,,134000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/dj-vu-all-over-again-californias-dmv-it-project-cancelled,,,HP,project termination/cancellation,"US,Project Failure,Government,State/Local,Transportation,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-04-01T07:00:00Z,22529825,UK Surrey Police Siren Criminal Investigation System Canceled,The £15 million investment was found not fit for its purpose.,,,,,,,1.48E7,£,GBP,UK,"Europe, Middle East, and Africa",Operational Failure,Government,State/Local,Law Enforcement,,http://www.bbc.com/news/uk-27911416,,,,project termination/cancellation,"UK,Operational Failure,Government,State/Local,Law Enforcement,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-05-01T07:00:00Z,153096708,BBC Blows £98.4 Million on Failed Digital Media Initiative,"After spending £98.4 million, the BBC admits to poor project management.",,,,,,,98400000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Commerce and Communications,,http://spectrum.ieee.org/riskfactor/computing/it/bbc-blows-984m-on-digital-media-initiative-project,,,,project termination/cancellation,"UK,Project Failure,Government,National,Commerce and Communications,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-06-01T07:00:00Z,2.0E7,Tennessee Cancels $37 Million Vision Integration Platform (VIP) Project,The project was in its 7th year and had cost $20 million without producing much of value.,,,,,,,2.0E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://archive.wbir.com/rss/article/271940/2/-State-pulls-plug-on-multi-million-dollar-computer-system,"A state comptroller audit in 2012 said the software was designed and being tested, but that changes were in the works, ""due to defects in current designs or new functionality requirements."" The completion date was pushed back to April 1 of this year.",,,project termination/cancellation,"US,Project Failure,Government,State/Local,Health and Human Services,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-10-01T07:00:00Z,2.79E7,Alaska Public Safety Information Network Database Modernization Quietly Killed After 11 years of Effort And $28 Million,"Modernization of APSIN, Alaska's criminal information database, was abandoned when it couldn't be made to work properly after $28 million spent.",,,,,,,2.79E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Law Enforcement,,http://www.adn.com/article/20150207/alaska-government-spent-nearly-28-million-botched-database-project,,,,project termination/cancellation,"US,Project Failure,Government,State/Local,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-04-01T07:00:00Z,166339993,Victoria Government Finally Kills AU $180 Million Ultra Schools Portal,"The project cost was triple the original AU $60 million estimate, and only 4% of schools ever used the system.",,,,,,,1.8E8,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,State/Local,Education,,http://www.theage.com.au/victoria/plug-pulled-on-schools-disastrous-ultranet-computer-system-20140419-36xse.html,,,,project termination/cancellation,"Australia,Project Failure,Government,State/Local,Education,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-09-01T07:00:00Z,57768786,Netherlands Social Insurance Bank SVB Scraps New €44 Million IT System after Persistent Failures,Termination resulted in a €44 million write-off.,,,,,,,44000000,€,EUR,Netherlands,"Europe, Middle East, and Africa",Project Failure,Government,National,Health and Human Services,,http://www.dutchnews.nl/news/archives/2014/09/social_insurance_bank_scraps_n.php/,,,,project termination/cancellation,"Netherlands,Project Failure,Government,National,Health and Human Services,,€,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2015-03-01T07:00:00Z,1000000,"Rutherford County, Tennessee Pulls Plug on $1 Million Court Management System","The county spent 2 years and $1 million trying to modernize their old court management system, without success. Litigation is likely.",,,,,,,1000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Law Enforcement,,http://www.dnj.com/story/news/2015/03/21/million-dollar-glitch/25166703/,,,,project termination/cancellation,"US,Project Failure,Government,State/Local,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2006-07-01T07:00:00Z,31000000,North Carolina Cancels New  $171 Million Medicaid Development,$31 million was spent before cancellation.,,,,,,,31000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://gcn.com/articles/2006/07/19/north-carolina-ends-medicaid-pact-with-acs.aspx; http://www.ncleg.net/DocumentSites/committees/JLOCIT/10-08-2013/Fiscal%20Research_NCTracks%20Information%20Paper-2013-10-08.pdf,,,EDS,"project termination/cancellation, health","US,Project Failure,Government,State/Local,Health and Human Services,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-11-01T07:00:00Z,,IT Problem Takes Down UK HSBC's Online Banking and ATM System,15 million customers affected,,,2,hours,2,15000000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/millions-in-uk-affected-by-it-system-glitches-at-hsbc-rbs-and-natwest-banks-over-past-few-days,"According to a report in the BBC, the cause of the problem was traced to a faulty server.",,,bank,"UK,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2011-09-01T07:00:00Z,20561706978,UK Terminates £12.7 Billion National Electronic Health Record Program,Over £12 billion is thought to be wasted.,,,,,,,1.27E10,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/npfit-dismantled-uk-government-announces-end-of-its-127-billion-national-electronic-health-record-program,,,,"project termination/cancellation, health","UK,Project Failure,Government,National,Health and Human Services,,£,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2012-05-01T07:00:00Z,585860071,Victoria Australia Terminates Troubled HealthSMART Electronic Health Record System,AU $566 million was spent with little to show for it. The original cost in 2007 was estimated to be AU $323 million.,,,,,,,5.66E8,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,State/Local,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/troubled-healthsmart-system-finally-cancelled-in-victoria-australia-,,,,"project termination/cancellation, health","Australia,Project Failure,Government,State/Local,Health and Human Services,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-02-01T07:00:00Z,1300000000,DOD Cancels Interoperable Electronic Health Record System Project,$1.3 billion was spent before cancellation.,,,,,,,1300000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.defense.gov/transcripts/transcript.aspx?transcriptid=5187; http://www.ihealthbeat.org/articles/2013/8/29/va-pentagon-spent-at-least-13b-on-canceled-joint-ehr-system?view=print,,,,"project termination/cancellation, health","US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-01-01T07:00:00Z,1.25E7,Federal Government Fires Health Exchange Contractor,"CGI's contract was not renewed, but it was paid at least $12.5 million.",,,,,,,1.25E7,$,USD,US,The Americas,Operational Failure,Government,National,Health and Human Services,,http://www.washingtonpost.com/politics/obama-administration-to-end-contract-with-cgi-federal-company-behind-healthcaregov/2014/01/10/001eb05a-719e-11e3-8b3f-b1666705ca3b_story.html; http://www.nationaljournal.com/health-care/obamacare-website-has-cost-840-million-20140730,,,CGI,health,"US,Operational Failure,Government,National,Health and Human Services,,$,health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-02-01T07:00:00Z,2.8E7,Maryland Terminates $193 Million Health Insurance Exchange Project,The state spent $73 million and got a refund of $45 million from the vendor.,,,,,,,2.8E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://articles.baltimoresun.com/2014-02-24/news/bal-state-fires-health-exchange-contractor-20140224_1_noridian-optum-qssi-isabel-fitzgerald; http://www.baltimoresun.com/health/blog/bs-hs-noridian-settlement-20150721-story.html#page=1,,,,"project termination/cancellation, health","US,Project Failure,Government,State/Local,Health and Human Services,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-03-01T07:00:00Z,52000000,Massachusetts Calls It Quits on $89 Million Health Insurance Exchange,"The state admits that it can't get the  exchange to work properly. The $89 million contract with CGI was canceled with the state agreeing to pay $52 million. However, in June 2015, the Massachusetts exchange, which was originally estimated to cost $174 million to develop, was rescoped at a new cost of $281 million. This is likely to ballon to over $300 million.",,,,,,,52000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://www.masslive.com/politics/index.ssf/2014/03/massachusetts_to_fire_technolo.html; https://www.bostonglobe.com/lifestyle/health-wellness/2014/06/20/state-reaches-settlement-with-cgi-builder-botched-health-insurance-website/IIW25yQ7QqRek8d9nV3Z4J/story.html; https://pgcompliancecoach.wordpress.com/2014/11/18/massachusetts-new-254-million-health-exchange-website-is-working/; https://www.bostonglobe.com/metro/2015/02/28/health-connector-website-needs-million-upgrades-this-year-director-says/0dg9tvF666ig3Tzsq402HL/story.html,,,CGI,"project termination/cancellation, health","US,Project Failure,Government,State/Local,Health and Human Services,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2015-01-01T07:00:00Z,6200000,Tennessee Cancels $37.5 Million TennCare Medicaid System After Spending $6.2 Million,The system showed few signs of ever working after $6.2 million was spent.,,,,,,,6200000,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://www.timesfreepress.com/news/local/story/2015/jan/13/state-officials-decide-cut-ties-tenncare-comp/282369/,,,Northrop Grumman,"project termination/cancellation, health","US,Project Failure,Government,State/Local,Health and Human Services,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-10-01T07:00:00Z,176458651,"Sainsbury Terminates £2.1 Billion, Ten-year IT Outsourcing Contract After Four Years",Sainsbury will take a £100 million write-off.,,,,,,,1.0E8,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Commercial,,,Retail,http://www.computerweekly.com/news/2240075714/Sainsburys-drops-its-21bn-outsourcing-contract-after-fundamental-overhaul-of-IT,,,,contract termination/cancellation,"UK,Project Failure,Commercial,,,Retail,£,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-04-01T07:00:00Z,2200000000,US Census Reverts to Paper Forms for 2010 Census Due To Handheld Computer Problems,"$798 million was spent on the scrapped computer contract, but it cost $2.2 billion to go back to paper forms.",,,,,,,2200000000,$,USD,US,The Americas,Project Failure,Government,National,Commerce and Communications,,http://spectrum.ieee.org/riskfactor/computing/it/census_going_back_to_paper_due,"Murdock's testimony before the United States House Appropriations Subcommittee on Commerce, Justice and Science, ""the problem with the FDCA (Field Data Collection Automation) program was due to a lack of communication between the Census Bureau and the prime contractor for FDCA, and to difficulties the contractor had in developing the full scope of the project within our deadlines",,,contract termination/cancellation,"US,Project Failure,Government,National,Commerce and Communications,,$,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-01-01T07:00:00Z,58900000,Miami-Dade School Board Terminates $85.4 Million Payroll System Contract,The district fires Deloitte after spending $58.9 million ($32 million on software).,,,,,,,58900000,$,USD,US,The Americas,Project Failure,Government,State/Local,Education,,http://www.eschoolnews.com/2009/01/15/miami-dade-school-board-fires-software-consulting-company/; https://www.bostonglobe.com/business/2013/10/06/deloitte-projects-plagued-with-troubles-around-country/gbNRcQg6yKHDS4yGVxh1RM/story.html; http://files.eric.ed.gov/fulltext/ED536523.pdf; http://files.eric.ed.gov/fulltext/ED536523.pdf,The state audit blamed the court system for agreeing to contract terms that failed to ensure it had sufficient oversight of Deloitte.,,Deloitte,"contract termination/cancellation, payroll","US,Project Failure,Government,State/Local,Education,,$,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-10-01T07:00:00Z,441000000,"Indiana Cancels $1.3 Billion Welfare Contract with IBM, Lawsuit Looms","IBM was paid $441 million at time of cancellation. The state sued IBM and lost in 2012, and was ordered to pay IBM another $62 million. On appeal, state won  a reversal in 2014. IBM and the state are in mediation.",,,,,,,441000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/indiana-follows-through-with-threat-cancels-13-billion-outsourcing-contract; http://www.govtech.com/health/Nobody-Wins-in-Indiana-vs-IBM-Lawsuit-Judge-Says.html; http://www.ibj.com/articles/46136-appeals-court-ibm-breached-contract-with-state; http://www.cio.com/article/2393757/legal/ibm-beats-indiana-in-outsourcing-case-no-one--deserves-to-win-.html,,,,contract termination/cancellation,"US,Project Failure,Government,State/Local,Health and Human Services,,$,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-01-01T07:00:00Z,1000000000,SBInet Contract Terminated After $1 Billion Spent,"After more than $1 billion spent, the system can't be made to work.",,,,,,,1000000000,$,USD,US,The Americas,Project Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/sbinet-officially-bites-the-dust,,,,"airport/port/customs systems, contract termination/cancellation","US,Project Failure,Government,National,Customs,,$,airport/port/customs systems, contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-03-01T07:00:00Z,6000000000,US DoD Cancels Joint Tactical Radio System (JTRS) GMR Development Contract,The DoD started the program in 1997 and invested $6 billion. It also spent $11 billion on the old style of radios because of program delays.,,,,,,,6000000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.publicintegrity.org/2012/01/10/7816/failure-communicate-inside-armys-doomed-quest-perfect-radio,,,,contract termination/cancellation,"US,Project Failure,Government,National,Defense and Veterans Affairs,,$,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-08-01T07:00:00Z,,Computer Problem Crashes London Heathrow T3 Check-in and Baggage System,"The outage lasted for hours, forcing 2,000 passengers to fly without their bags.",,,1,hours,1,6000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/heathrow_baggage_problems_agai; http://news.bbc.co.uk/2/hi/uk_news/england/london/7561838.stm,,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2014-03-01T07:00:00Z,310000000,Oregon Terminates Health Insurance Exchange Contract,Over $310 million was spent without anything to show for it.,,,,,,,310000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/oracle-assails-states-false-narrative-of-blame-over-cover-oregon-debacle; http://www.kgw.com/story/news/politics/2015/03/02/cover-oregon-kitzhaber-oracle-cost/24253479/; http://spectrum.ieee.org/riskfactor/computing/it/uncover-oregon-states-healthcare-exchange-website-still-inoperable-four-months-after-planned-launch; http://www.latimes.com/nation/nationnow/la-na-nn-oracle-oregon-lawsuit-20140809-story.html#page=1; http://fortune.com/2014/08/22/oregon-oracle-spat-200-million-lawsuit/,"Kitzhaber did concede that the state may have been a bit at fault, but only in terms of having had an “unrealistically high sense of optimism that Oracle could deliver.”",,Oracle,"contract termination/cancellation, health","US,Project Failure,Government,State/Local,Health and Human Services,,$,contract termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-12-01T07:00:00Z,1.24E8,New Jersey Cancels $227 Million Social Welfare Computer System Project,"The original cost of the project was $190 million in August 2009, including a contract to HP for $83 million, which was to be finished by July 2014. The project was canceled when the estimated cost rose to $227 million. After the project was canceled and negotiations, HP was paid $17 million after refunding the state $7 million. The state did spend at least $107 million on the contract, but refuses to give an exact number. ",,,,,,,1.24E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/new-jersey-finally-cancels-118-million-social-welfare-computer-system; http://www.nj.com/politics/index.ssf/2015/01/it_company_will_refund_nj_75_million_but_will_not_deliver_on_contract_to_automate_social_service_pro.html; http://www.njleg.state.nj.us/legislativepub/Auditor/543213.pdf,"However, an HP spokesperson did seem to hint strongly that any and all project problems were the fault of New Jersey’s DHS, when he stated that, “Out of respect, HP does not comment on customer relationships.”",,"HP, EDS",contract termination/cancellation,"US,Project Failure,Government,State/Local,Health and Human Services,,$,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-11-01T07:00:00Z,,UK Government Mislays Nearly Half the Country's Personal Details,Two discs containing information on 25 million Britons was lost in the mail.,,,,,,25000000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Law Enforcement,,http://spectrum.ieee.org/riskfactor/computing/it/uk_government_mislays_25_milli,,,,misc,"UK,Operational Failure,Government,National,Law Enforcement,,,,,,Impact - Raw,Impact - customers affected"
2012-07-01T07:00:00Z,26000000,FBI Sentinel System Finally Goes Live,"The final cost was said to be $451 million, $26 million over the initial estimate.",,,,,,,26000000,$,USD,US,The Americas,Operational Failure,Government,National,Law Enforcement,,http://www.bloomberg.com/news/2012-07-31/fbi-computer-system-operational-after-delays-and-cost-overruns.html,,FBI VCF/Sentinel,,misc,"US,Operational Failure,Government,National,Law Enforcement,,$,,,FBI VCF/Sentinel,Impact - Raw,Impact - Qty,Impact - Currency"
2012-12-01T07:00:00Z,18000000,Vermont and HP Settle Over Failed Dept. of Motor Vehicle Project,"Project cost was $18 million; HP refunds state $8.4 million, making state's cost $9.6 million",,,,,,,18000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Transportation,,http://vtdigger.org/2012/12/05/state-wins-8-37-million-back-from-hp-for-failed-dmv-system/,,,HP,misc,"US,Project Failure,Government,State/Local,Transportation,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-01-01T07:00:00Z,3.21E8,Navy Minesweeper Runs Aground in Protected Philippine Waters Following Incorrect Digital Chart,"The digital navigation map was off by 8 nautical miles, and the ship later had to be dismantled. The cost was over $44 million (not including the loss of the $277 million ship).",,,,,,,3.21E8,$,USD,Philippines,Asia Pacific and Japan,Operational Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-digital-navigation-error-leads-to-dismantling-of-us-navy-ship; http://www.navytimes.com/article/20130620/NEWS/306200040; http://www.navytimes.com/article/20130620/NEWS/306200040; http://www.dailymail.co.uk/news/article-2270395/U-S-Navy-hack-61million-minesweeper-ship-pieces-remove-sensitive-reef-near-Philippines.html,"The Washington Post reported that the problem was caused by unexplained “technical issues” rather than a cyber attack. Religare was quoted by Bloomberg News as saying, “Due to some technical issue in the software, unintended transactions got executed.”

Bloomberg said that the error will likely cost the brokerage some 100 million rupees (around US $1.8 million).",,,misc,"Philippines,Operational Failure,Government,National,Defense and Veterans Affairs,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2015-03-01T07:00:00Z,6.1E7,Idaho Spent $61 Million on Failed School Management System,"Idaho spent $40 million of its own money and $21 million from an educational foundation, to develop a state-wide instructional management system that doesn't work.",,,,,,,6.1E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Education,,http://www.spokesman.com/stories/2015/mar/25/idaho-spent-61-million-on-failed-school/,,,,misc,"US,Project Failure,Government,State/Local,Education,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-05-01T07:00:00Z,394614304,Centrica Sues for £182 Million over Botched Customer Billing System,Centrica wrote off £200 million because of the botched system.,,,,,,,200000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Commercial,,,Energy and Utilities,http://spectrum.ieee.org/riskfactor/computing/it/lawyer_asteroid_hits_project_j; http://uk.reuters.com/article/2008/05/12/press-digest-idUKNOA22285520080512,,,,billing,"UK,Project Failure,Commercial,,,Energy and Utilities,£,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-08-01T07:00:00Z,,"80,000 State Farm Insurance Customers Double Billed",The automated billing system goes haywire.,,,,,,80000,,,,US,The Americas,Operational Failure,Commercial,,,Retail,http://spectrum.ieee.org/riskfactor/computing/it/thousands-of-state-farm-and-aafes-customers-erroneously-billed,"That error was a result of a ""coding error"" at the Bank's credit card billing vendor.",,,billing,"US,Operational Failure,Commercial,,,Retail,,,,,Impact - Raw,Impact - customers affected"
2011-08-01T07:00:00Z,,Texas Utility Computer Upgrade Glitches,"Oncor Electric Delivery metering software glitches affects over 300,000 customers' bills.",,,10,days,240,330000,,,,US,The Americas,Operational Failure,Commercial,,,Energy and Utilities,http://spectrum.ieee.org/riskfactor/computing/it/electric-billing-issues-for-300000-texas-residents-after-software-upgrade-glitch,"Oncor says the software problem has been fixed, and that it apologizes ""...for any inconvenience it has caused to customers.""

In a different type of automation error but also affecting an energy company, two weeks ago the BBC reported that EDF Energy, Britain's largest electricity generator, admitted that some 100 000 of its customers have been over-charged for the past seven years, from October 2003 to May 2010, because there was a glitch EDF's automated telephone meter reading system",,,billing,"US,Operational Failure,Commercial,,,Energy and Utilities,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2012-06-01T07:00:00Z,49000000,New Philadelphia Water Billing System Still Defective,"The city has spent $49 million on 5 IT billing systems in all, and it still can't get its water billing system to work right.",,,,,,,49000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://www.philadelphiacontroller.org/page.asp?id=794,,,,billing,"US,Operational Failure,Government,State/Local,Finance and Treasury,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
